Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.0361 	0.3550 
2015 	4 	0.0300 	3.2903 
2015 	5 	0.0300 	23.4644 
2015 	6 	0.0200 	5.3470 
2015 	7 	0.0700 	9.4251 
2015 	8 	0.0560 	14.5397 
2015 	9 	0.0410 	4.1669 
2015 	10 	0.0200 	0.4253 
2015 	11 	0.0220 	0.3683 
2015 	12 	0.0361 	0.2680 
2016 	3 	0.0941 	0.2292 
2016 	4 	0.0570 	0.1992 
2016 	5 	0.1030 	16.5758 
2016 	6 	0.0700 	9.1723 
2016 	7 	0.1880 	10.9332 
2016 	8 	0.1950 	1.6576 
2016 	9 	0.0600 	1.5981 
2016 	10 	0.0500 	0.9700 
2016 	11 	0.0300 	0.8913 
2016 	12 	0.0941 	0.5747 
2017 	3 	0.0700 	0.8289 
2017 	4 	0.0900 	9.6610 
2017 	5 	0.0300 	30.8632 
2017 	6 	0.0300 	15.8788 
2017 	7 	0.1000 	7.8095 
2017 	8 	0.0400 	82.7461 
2017 	9 	0.0400 	43.0132 
2017 	10 	0.1700 	0.9247 
2017 	11 	0.0600 	0.7540 
2017 	12 	0.0700 	0.4327 
2018 	1 	0.0513 	0.4220 
2018 	2 	0.0513 	6.7833 
2018 	3 	0.0513 	23.0108 
2018 	4 	0.0300 	5.4429 
2018 	5 	0.0500 	43.1730 
2018 	6 	0.0300 	82.8441 
2018 	7 	0.0100 	6.0755 
2018 	8 	0.0500 	9.3856 
2018 	9 	0.0400 	5.5509 
2018 	10 	0.0200 	0.4605 
2018 	11 	0.1800 	0.3947 
2018 	12 	0.0513 	0.3690 
2019 	1 	0.0500 	2.0567 
2019 	2 	0.0200 	1.0267 
2019 	3 	0.0300 	0.5745 
2019 	4 	0.0300 	19.0636 
2019 	5 	0.0600 	32.3678 
2019 	6 	0.0100 	8.4557 
2019 	7 	0.0600 	9.3683 
2019 	8 	0.0400 	7.7600 
2019 	9 	0.0400 	8.5838 
2019 	10 	0.0400 	0.5627 
2019 	11 	0.0200 	0.4537 
2019 	12 	0.0200 	0.5210 
2020 	1 	0.0230 	0.5850 
2020 	2 	0.0300 	0.4610 
2020 	3 	0.0800 	0.4265 
2020 	4 	0.0193 	18.3910 
2020 	5 	0.0222 	30.3355 
2020 	6 	0.0302 	11.5553 
2020 	7 	0.0273 	11.5068 
2020 	8 	0.0294 	8.1763 
2020 	9 	0.0284 	12.6676 
2020 	10 	0.0224 	1.3033 
2020 	11 	0.0133 	0.7853 
2020 	12 	0.0179 	0.6740 
