Year	Month	Conc_mg/L	Q_m3/s
2015 	3 	0.0188 	1.0973 
2015 	4 	0.0200 	1.9675 
2015 	5 	0.0200 	3.4267 
2015 	6 	0.0200 	2.0058 
2015 	7 	0.0300 	1.9165 
2015 	8 	0.0300 	9.0721 
2015 	9 	0.0050 	0.7971 
2015 	10 	0.0200 	1.0400 
2015 	11 	0.0050 	1.5200 
2015 	12 	0.0188 	0.6290 
2016 	3 	0.0469 	1.0193 
2016 	4 	0.0200 	3.2800 
2016 	5 	0.0900 	6.6750 
2016 	6 	0.0050 	2.4917 
2016 	7 	0.0700 	2.6457 
2016 	8 	0.0400 	47.2389 
2016 	9 	0.0800 	13.9771 
2016 	10 	0.0400 	0.5067 
2016 	11 	0.0300 	0.4327 
2016 	12 	0.0469 	0.2967 
2017 	3 	0.0363 	0.7867 
2017 	4 	0.0300 	0.5967 
2017 	5 	0.0200 	1.5433 
2017 	6 	0.0500 	1.5727 
2017 	7 	0.0500 	1.3940 
2017 	8 	0.0600 	1.1607 
2017 	9 	0.0500 	0.7932 
2017 	10 	0.0200 	0.6793 
2017 	11 	0.0100 	0.6000 
2017 	12 	0.0238 	0.6000 
2018 	4 	0.0100 	0.4507 
2018 	5 	0.0050 	0.6000 
2018 	6 	0.0300 	1.6574 
2018 	7 	0.0300 	1.0396 
2018 	8 	0.0200 	2.3811 
2018 	9 	0.0800 	1.1504 
2018 	10 	0.0100 	0.6373 
2018 	11 	0.0050 	0.6560 
2018 	12 	0.0238 	0.5667 
2019 	1 	0.0050 	0.1490 
2019 	2 	0.0200 	0.1550 
2019 	3 	0.0355 	0.1727 
2019 	4 	0.0200 	0.1730 
2019 	5 	0.0050 	0.5810 
2019 	6 	0.0300 	4.4780 
2019 	7 	0.0100 	0.8857 
2019 	8 	0.0900 	27.4557 
2019 	9 	0.0200 	5.2205 
2019 	10 	0.1500 	0.6320 
2019 	11 	0.0300 	1.5700 
2019 	12 	0.0100 	0.3800 
2020 	1 	0.0050 	0.3773 
2020 	2 	0.0300 	0.3780 
2020 	3 	0.0600 	0.4253 
2020 	4 	0.0097 	0.8760 
2020 	5 	0.0105 	2.2433 
2020 	6 	0.0352 	1.2510 
2020 	7 	0.0206 	0.6327 
2020 	8 	0.0240 	6.2958 
2020 	9 	0.0303 	57.8233 
2020 	10 	0.0245 	0.8900 
2020 	11 	0.0403 	0.3804 
2020 	12 	0.0124 	0.3900 
